product_id,marketplace_id,product_title,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_info_url
B0B6QKW2BQ,-,"9 Color Glitter Matte Eyeshadow Palette, Pink Nude Red Cream Shimmer Eyeshadow Eye Shadow Makeup Palettes, Mothers Day Gifts Waterproof High Pigment Long-Lasting Korean Eye Makeup(03# Pink)",-,-,MAY FOLTREN,-,-,2.87 x 2.87 x 0.55 inches, 1.13 Ounces,136 ratings,4.2 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NDA2OTA4NjY3MTc3NjcxOjE2OTkwNDc4OTM6c3BfYXRmOjIwMDA3Mzc3MDkzMDc5ODo6MDo6&url=%2FEyeshadow-Waterproof-Hypoallergenic-Highly-Pigmented-Long-Lasting%2Fdp%2FB0B6QKW2BQ%2Fref%3Dsr_1_1_sspa%3Fkeywords%3D9%2Bcolor%2Beyeshadow%2Bpalette%26qid%3D1699047893%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61Qh4MKXJEL._AC_UL320_.jpg,-
B0C9Y7BHHZ,2,"AMY'S DIARY 9 Colors Eyeshadow Palette Green Glitter Makeup,light deep Green Yellow Matte Glitter EyeShadow Long Lasting Colorful Eye Shadow Plattet for woman (103)",$8.99,$8.99,AMY'S DIARY,-,-,Item Dimensions LxWxH,-,210 ratings,3.9 out of 5 stars,https://www.amazon.com/AMYS-DIARY-Eyeshadow-EyeShadow-Colorful/dp/B0C9Y7BHHZ/ref=sr_1_2?keywords=9+color+eyeshadow+palette&qid=1699047893&sr=8-2,https://m.media-amazon.com/images/I/71-DVT0ufOL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=ADFM9IGZCBSKR&asin=B0C9Y7BHHZ&ref_=dp_merchant_link&isAmazonFulfilled=1
B0C7G1V461,2,"9 Colors Eyeshadow Palette Kit,Eyeshadow Palette with 3 Eyeshadow Brushes,Cute Toast Shaped Blushed Eyeshadow Palette Matte & Shimmer Glitter Long-lasting Nude Eye Shadow Daily Eye Makeup (#03)",$9.99,$9.99,Getzan,-,-,7.56 x 5.59 x 0.67 inches, 3.49 Ounces,5 ratings,4.1 out of 5 stars,https://www.amazon.com/Eyeshadow-Palette-Brushes-Blushed-Long-lasting/dp/B0C7G1V461/ref=sr_1_3?keywords=9+color+eyeshadow+palette&qid=1699047893&sr=8-3,https://m.media-amazon.com/images/I/61XjPqS3iyL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A27X1KGIS9DURE&asin=B0C7G1V461&ref_=dp_merchant_link&isAmazonFulfilled=1
B0C53W6Y3P,2,"TWLBXMG 9 Color Eyeshadow Palette, Glitter Nude Peach Rose Gold Champagne Orange Eye Shadow Palettes Waterproof Highly-Pigmented Long-Lasting Korean Eye Makeup (02# Peach) (02# peach)",$6.98,$6.98,TWLBXMG,-,-,2.87 x 2.87 x 0.55 inches, 1.13 Ounces,2 ratings,4.5 out of 5 stars,https://www.amazon.com/TWLBXMG-Eyeshadow-Waterproof-Highly-Pigmented-Long-Lasting/dp/B0C53W6Y3P/ref=sr_1_4?keywords=9+color+eyeshadow+palette&qid=1699047893&sr=8-4,https://m.media-amazon.com/images/I/610mnMsYF5L._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1CMGFYXLY07QE&asin=B0C53W6Y3P&ref_=dp_merchant_link&isAmazonFulfilled=1
B0B68G2S1Y,2,PICKX 9 Colors Glitter Eyeshadow Makeup Palette Matte High Pigmented Colorful Creamy Texture Eye Shadow Powder Natural Waterproof Long Lasting Eyeshadow Powder Cosmetics (orange),$10.39,$10.39,PICKX,-,-,5.71 x 4.09 x 0.67 inches, 1.13 Ounces,35 ratings,3.2 out of 5 stars,https://www.amazon.com/PICKX-Eyeshadow-Pigmented-Waterproof-Cosmetics/dp/B0B68G2S1Y/ref=sr_1_5?keywords=9+color+eyeshadow+palette&qid=1699047893&sr=8-5,https://m.media-amazon.com/images/I/71hN4i+E4EL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3MWZUCPOXDNHT&asin=B0B68G2S1Y&ref_=dp_merchant_link&isAmazonFulfilled=1
B0B6QN2SHM,2,"MAY FOLTREN Peach Rose Gold Champagne Orange Eyeshadow Palette, 9 Color Glitter Matte Shimmer Blendable Eye Shadow Palettes, Waterproof Highly-Pigmented Long-Lasting Korean Makeup(02# Peach)",$6.98,$6.98,MAY FOLTREN,-,-,2.91 x 2.87 x 0.55 inches, 1.13 Ounces,136 ratings,4.2 out of 5 stars,https://www.amazon.com/Eyeshadow-Waterproof-Hypoallergenic-Highly-Pigmented-Long-Lasting/dp/B0B6QN2SHM/ref=sr_1_6?keywords=9+color+eyeshadow+palette&qid=1699047893&sr=8-6,https://m.media-amazon.com/images/I/610mnMsYF5L._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3UHTSQD2PSXZM&asin=B0B6QN2SHM&ref_=dp_merchant_link&isAmazonFulfilled=1
B0BY4NSTSN,2,Xaena Carved Flower Pattern Eyeshadow Palette Colorful Eye Makeup in 9 Shades of Eyeshadow and Blush with Eyeshadow Brush and Makeup Mirror - Embossed Makeup Palette for Creative Looks,$19.99,$24.99,Xaena,-,-,6.69 x 2.55 x 0.59 inches, 7.37 Ounces,18 ratings,4.4 out of 5 stars,https://www.amazon.com/Xaena-Pattern-Eyeshadow-Palette-Colorful/dp/B0BY4NSTSN/ref=sr_1_7?keywords=9+color+eyeshadow+palette&qid=1699047893&sr=8-7,https://m.media-amazon.com/images/I/71SOJrHsjAL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2SHKAJG832UOE&asin=B0BY4NSTSN&ref_=dp_merchant_link&isAmazonFulfilled=1
B0CG4CWWHW,2,"GL-Turelifes 9 Colors Matte&Pearl Black Eyeshadow Palette, Smoky Eye Shadow Makeup, Silver Glitter Grey Eyeshadow with Mirror Waterproof Sweat-proof Long Lasting Highly Pigmented Eye Shadows (Gray)",$7.99,$7.99,Chunbi,-,-,2.76 x 2.76 x 0.67 inches, 1.41 Ounces,1 rating,5.0 out of 5 stars,https://www.amazon.com/GL-Turelifes-Eyeshadow-Waterproof-Sweat-proof-Pigmented/dp/B0CG4CWWHW/ref=sr_1_8?keywords=9+color+eyeshadow+palette&qid=1699047893&sr=8-8,https://m.media-amazon.com/images/I/51Rntyb+ykL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3QWPCTF7WO7PW&asin=B0CG4CWWHW&ref_=dp_merchant_link&isAmazonFulfilled=1
B0CHNYPH75,-,ecofavor Red Goth Eyeshadow Palette - 9 Colors True Hot Red Black Eye Shadows | Halloween Glitters Makeup | Matte Shimmer High Pigmentation | Clown Vampire SFX Halloween Christmas Palette,-,-,ecofavor,-,-,5.55 x 5 x 0.75 inches, 4.16 Ounces,3 ratings,5.0 out of 5 stars,https://www.amazon.com/ecofavor-Red-Goth-Eyeshadow-Palette/dp/B0CHNYPH75/ref=sr_1_9?keywords=9+color+eyeshadow+palette&qid=1699047893&sr=8-9,https://m.media-amazon.com/images/I/716SKUEWKML._AC_UL320_.jpg,-
B09WHXNWZV,2,"Go Ho Black Grey White Smokey Makeup Eyeshadow Palette,9 Colors Matte & Shimmer Eye Makeup Palette,Gray Sliver Eyeshadow Makeup,Waterproof Cool Daily Shades Eyeshadow Palette with Prism Mirror",$7.88,$7.88,Go Ho,-,-,3.39 x 3.27 x 0.55 inches, 3.21 Ounces,295 ratings,4.3 out of 5 stars,https://www.amazon.com/Go-Ho-Eyeshadow-Palette-Waterproof/dp/B09WHXNWZV/ref=sr_1_10?keywords=9+color+eyeshadow+palette&qid=1699047893&sr=8-10,https://m.media-amazon.com/images/I/61Tt5XuBWoL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A9MAJWQV1QXGD&asin=B09WHXNWZV&ref_=dp_merchant_link&isAmazonFulfilled=1
