product_id,marketplace_id,product_title,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_info_url,seller_name,business_name,business_address,zip_code,country
B0BGR4TG4R,2,LAURA GELLER NEW YORK The Delectables Earthy Essentials Baked Eyeshadow Palette | 14 Pigmented Eyeshadows Blendable Natural Look,$25.00,$25.00,LAURA GELLER NEW YORK,-,-,7.64 x 3.23 x 0.67 inches, 3.84 Ounces,"1,627 ratings",4.1 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNjg5NzI3OTMzOTg2NjcxOjE2OTkwNDA2OTU6c3BfYXRmOjMwMDAyNzA5MDQ2MjcwMjo6MDo6&url=%2FLAURA-GELLER-NEW-YORK-Delectables%2Fdp%2FB0BGR4TG4R%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3K0KECOAYM9UM%26keywords%3Deyeshadow%2Bpalette%26qid%3D1699040695%26sprefix%3D%252Caps%252C131%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/81GjDr9tmBL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A107LV0WKN7KME&asin=B0BGR4TG4R&ref_=dp_merchant_link&isAmazonFulfilled=1,Laura Geller New York,AS Beauty Group LLC,42 West 39th street - 9th floor - New York - NY,10018,US
B07M5WQTKD,-,"2Pcs UCANBE Twilight Dusk + Aromas Nude Eyeshadow Palette Makeup Set, Matte Shimmer Glitter Pressed Pearl All Highly Pigmented Blending Powder, Natural Velvet Texture Eye Shadow Kit", $16.98 ,"The List Price is the suggested retail price of a new product as provided by a manufacturer, supplier, or seller. Except for books, Amazon will display a List Price if the product was purchased by customers on Amazon or offered by other retailers at or above the List Price in at least the past 90 days. List prices may not necessarily reflect the product's prevailing market price.",CHARMCODE,-,-,Item Dimensions LxWxH,-,"10,385 ratings",4.6 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNjg5NzI3OTMzOTg2NjcxOjE2OTkwNDA2OTU6c3BfYXRmOjIwMDA0NTE1ODI2NDMyMTo6MDo6&url=%2FTwilight-Eyeshadow-Palette-Pigmented-Blending%2Fdp%2FB07M5WQTKD%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3K0KECOAYM9UM%26keywords%3Deyeshadow%2Bpalette%26qid%3D1699040695%26sprefix%3D%252Caps%252C131%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/712OWZa9-ML._AC_UL320_.jpg,-,-,-,-,-,-
B08KYQBKPY,1,PRO Palette,$39.00,$39.00,AmazonUs/LORB8,1810248,-,6.89 x 0.62 x 3.7 inches, 6.88 Ounces,523 ratings,4.5 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNjg5NzI3OTMzOTg2NjcxOjE2OTkwNDA2OTU6c3BfYXRmOjMwMDA2MjQ2MjczOTgwMjo6MDo6&url=%2FLORAC-PRO-Palette-Soleil-0-56%2Fdp%2FB08KYQBKPY%2Fref%3Dsr_1_3_sspa%3Fcrid%3D3K0KECOAYM9UM%26keywords%3Deyeshadow%2Bpalette%26qid%3D1699040695%26sprefix%3D%252Caps%252C131%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/61ayPDcsOpL._AC_UL320_.jpg,-,-,-,-,-,-
B08NDYQ1PC,2,UCANBE EXOTIC FLAVORS Neon Eyeshadow Makeup Palette - 48 Colorful High Pigmented - Rainbow Matte Shimmer Glitter Eye Shadow Make Up Pallet Gift Set,$13.99,$19.99,UCANBE,STUB069,-,9.69 x 7.52 x 0.43 inches, 11.29 Ounces,"5,646 ratings",4.7 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozNjg5NzI3OTMzOTg2NjcxOjE2OTkwNDA2OTU6c3BfYXRmOjIwMDA2MjQxMDg4NDMyMTo6MDo6&url=%2FUCANBE-UCANBE-EXOTIC-FLAVORS-Neon-Eyeshadow-Makeup-Palette-48-Colorful-High-Pigmented-Rainbow-Matte-Shimmer-Glitter-Eye-Shadow-Make-Up-Pallet-Gift-Set%2Fdp%2FB08NDYQ1PC%2Fref%3Dsr_1_4_sspa%3Fcrid%3D3K0KECOAYM9UM%26keywords%3Deyeshadow%2Bpalette%26qid%3D1699040695%26sprefix%3D%252Caps%252C131%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,https://m.media-amazon.com/images/I/71dm6q1yvnL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2CN5WGM9C5TKQ&asin=B08NDYQ1PC&ref_=dp_merchant_link&isAmazonFulfilled=1,Idle Pleasure,foshanshixianqingoujizhubaoyouxiangongsi,chanchengqu jihuasanlu 61hao - zhuoyuanguangchang 719shi zhier - foshanshi - guangdongsheng,528000,CN
B00L0R5494,-,"Maybelline The Nudes Eyeshadow Palette Makeup, 12 Pigmented Matte & Shimmer Shades, Blendable Powder, 1 Count",-,-,Maybelline New York,MBENP001-00,-,2.05 x 1.95 x 0.55 inches, 3 Ounces,"27,559 ratings",4.4 out of 5 stars,https://www.amazon.com/Maybelline-Nudes-Eyeshadow-Palette-0-34/dp/B00L0R5494/ref=sr_1_5?crid=3K0KECOAYM9UM&keywords=eyeshadow+palette&qid=1699040695&sprefix=%2Caps%2C131&sr=8-5,https://m.media-amazon.com/images/I/81MkouPvWiL._AC_UL320_.jpg,-,-,-,-,-,-
B01IW02HYG,2,"NYX PROFESSIONAL MAKEUP Ultimate Shadow Palette, Eyeshadow Palette - Brights",$12.17,$18.00,NYX Professional Makeup,USP04,-,0.71 x 3.9 x 3.78 inches, 3.58 Ounces,"35,231 ratings",4.6 out of 5 stars,https://www.amazon.com/NYX-PROFESSIONAL-MAKEUP-Ultimate-Eyeshadow/dp/B01IW02HYG/ref=sr_1_6?crid=3K0KECOAYM9UM&keywords=eyeshadow+palette&qid=1699040695&sprefix=%2Caps%2C131&sr=8-6,https://m.media-amazon.com/images/I/61VSlY0P4kL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3UXM71D82QF7X&asin=B01IW02HYG&ref_=dp_merchant_link&isAmazonFulfilled=1,Electronics Labs,ELECTRONIC LABS EE.UU LLC,7994 nw 66th Terr - Parkland - FL,33067,US
B09NX8R28P,1,"wet n wild Always Naked Palette, Nude Neutral Eye Makeup, Blendable, Warm And Cool Nude Pigments, Matte, Shimmer, Glitter, Creamy Smooth",$8.98,$9.99,Markwins Beauty Products,1114216,-,7.01 x 4.8 x 1.02 inches, 3.21 Ounces,"3,870 ratings",4.1 out of 5 stars,https://www.amazon.com/Eyeshadow-Palette-Shimmering-Glitter-Finishes/dp/B09NX8R28P/ref=sr_1_7?crid=3K0KECOAYM9UM&keywords=eyeshadow+palette&qid=1699040695&sprefix=%2Caps%2C131&sr=8-7,https://m.media-amazon.com/images/I/71-ekZvH8qL._AC_UL320_.jpg,-,-,-,-,-,-
B07YC98BF8,-,UCANBE Spotlight Eyeshadow Palette Professional 40 Color Eye Shadow Matte Shimmer Makeup Pallet Highly Pigmented Colorful Powder Long Lasting Waterproof Eye Shadow,-,-,UCANBE,STUB051_FBA,-,Item Dimensions LxWxH,-,"11,476 ratings",4.6 out of 5 stars,https://www.amazon.com/UCANBE-Spotlight-Eyeshadow-Professional-Waterproof/dp/B07YC98BF8/ref=sr_1_8?crid=3K0KECOAYM9UM&keywords=eyeshadow+palette&qid=1699040695&sprefix=%2Caps%2C131&sr=8-8,https://m.media-amazon.com/images/I/71M1vJWmUSL._AC_UL320_.jpg,-,-,-,-,-,-
B07CS2ZKQ3,2,"e.l.f. Perfect 10 Eyeshadow Palette, Ten Ultra-pigmented Shimmer & Matte Shades, Vegan & Cruelty-free, Nude Rose Gold (Packaging May Vary)",$10.00,$10.00,e.l.f. Cosmetics,83277,-,1.09 x 4.9 x 16.51 inches, 2.46 Ounces,"3,657 ratings",4.5 out of 5 stars,https://www.amazon.com/l-f-Eyeshadow-Palette-Nude-Rose/dp/B07CS2ZKQ3/ref=sr_1_9?crid=3K0KECOAYM9UM&keywords=eyeshadow+palette&qid=1699040695&sprefix=%2Caps%2C131&sr=8-9,https://m.media-amazon.com/images/I/71sh9P-6UYL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1AKIKTRMHYEZI&asin=B07CS2ZKQ3&ref_=dp_merchant_link&isAmazonFulfilled=1,346 Unlimited,"346 unlimited, LLC",4360 Commerce Circle - Suite A - Atlanta - Georgia,30336,US
B0852SZ4XN,2,Too Faced Born This Way The Natural Nudes Eyeshadow Palette,$35.00,$49.99,Too Faced Cosmetics,2307536,-,Item Dimensions LxWxH,-,206 ratings,4.5 out of 5 stars,https://www.amazon.com/Too-Faced-Natural-Eyeshadow-Palette/dp/B0852SZ4XN/ref=sr_1_10?crid=3K0KECOAYM9UM&keywords=eyeshadow+palette&qid=1699040695&sprefix=%2Caps%2C131&sr=8-10,https://m.media-amazon.com/images/I/61NQ9rnoT1L._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AYGNN5YJJZX8&asin=B0852SZ4XN&ref_=dp_merchant_link&isAmazonFulfilled=1,Nevvera,TX,12538 LARKINGTON LN - RICHMOND - TX,77407-3045,US
