product_id,marketplace_id,product_title,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_info_url,seller_name,business_name,business_address,zip_code,country
B00GI21NW8,2,Anastasia Beverly Hills - Brow Wiz,$25.00,$25.00,Anastasia Beverly Hills,13989BEDDQUEGRE,-,-,-,"23,013 ratings",4.7 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxOTAzNDc2Mzc2NzY4NjcxOjE2OTkwNDc1MjY6c3BfYXRmOjIwMDAxNDI2NDAyNTk4MTo6MDo6&url=%2FAnastasia-Beverly-Hills-Brow-Brown%2Fdp%2FB00GI21NW8%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2TULJPWCTZP59%26keywords%3Dbrow%2Bwiz%26qid%3D1699047526%26sprefix%3D%252Caps%252C194%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1%26smid%3DA3NDCRNDH02ZB4,https://m.media-amazon.com/images/I/51AWKF67l0L._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NDCRNDH02ZB4&asin=B00GI21NW8&ref_=dp_merchant_link&isAmazonFulfilled=1,"Anastasia Beverly Hills, LLC","Anastasia Beverly Hills, LLC",438 N Bedford Drive - BEVERLY HILLS - CA,90210,US
B01M5CZAXM,2,Anastasia Beverly Hills - Brow Wiz,$25.00,$25.00,Anastasia Beverly Hills,1056100,-,-,-,"23,013 ratings",4.7 out of 5 stars,https://www.amazon.com/Anastasia-Beverly-Hills-Medium-Brown/dp/B01M5CZAXM/ref=sr_1_2?crid=2TULJPWCTZP59&keywords=brow+wiz&qid=1699047526&sprefix=%2Caps%2C194&sr=8-2,https://m.media-amazon.com/images/I/51nTlddg3mL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NDCRNDH02ZB4&asin=B01M5CZAXM&ref_=dp_merchant_link&isAmazonFulfilled=1,"Anastasia Beverly Hills, LLC","Anastasia Beverly Hills, LLC",438 N Bedford Drive - BEVERLY HILLS - CA,90210,US
B0BTZ5NLZJ,2,Precision waterproof eyebrow pencil double-head automatic professional makeup eyebrow thin pointed eyebrow 4 colors (#001),$6.99,$6.99,RICSEA,-,-,6.3 x 1.22 x 0.55 inches, 1.13 Ounces,22 ratings,4.1 out of 5 stars,https://www.amazon.com/Precision-waterproof-double-head-automatic-professional/dp/B0BTZ5NLZJ/ref=sr_1_3?crid=2TULJPWCTZP59&keywords=brow+wiz&qid=1699047526&sprefix=%2Caps%2C194&sr=8-3,https://m.media-amazon.com/images/I/51vBPbpWNjL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1YVI27PPC7T3Y&asin=B0BTZ5NLZJ&ref_=dp_merchant_link&isAmazonFulfilled=1,JIALII-EU,Nanningshi jialimaoyi youxiangongsi,五象大道688号 - 南宁市 - 良庆区,530000,CN
B00WZRJSPY,-,"NYX PROFESSIONAL MAKEUP Micro Brow Pencil, Eyebrow Pencil - Taupe", $8.81 ,"The List Price is the suggested retail price of a new product as provided by a manufacturer, supplier, or seller. Except for books, Amazon will display a List Price if the product was purchased by customers on Amazon or offered by other retailers at or above the List Price in at least the past 90 days. List prices may not necessarily reflect the product's prevailing market price.",NYX Professional Makeup,MBP01,-,0.61 x 0.61 x 5.87 inches, 0.31 Ounces,"57,006 ratings",4.5 out of 5 stars,https://www.amazon.com/NYX-PROFESSIONAL-MAKEUP-Pencil-Eyebrow/dp/B00WZRJSPY/ref=sr_1_4?crid=2TULJPWCTZP59&keywords=brow+wiz&qid=1699047526&sprefix=%2Caps%2C194&sr=8-4,https://m.media-amazon.com/images/I/51KC8YecufL._AC_UL320_.jpg,-,-,-,-,-,-
B01B00XFFU,2,Anastasia Beverly Hills - Brow Definer,$26.00,$26.00,Anastasia Beverly Hills,ABH01-04407,-,-,-,"13,300 ratings",4.6 out of 5 stars,https://www.amazon.com/Anastasia-Beverly-Hills-Definer-Brown/dp/B01B00XFFU/ref=sr_1_5?crid=2TULJPWCTZP59&keywords=brow+wiz&qid=1699047526&sprefix=%2Caps%2C194&sr=8-5,https://m.media-amazon.com/images/I/51pnxGDF-+L._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NDCRNDH02ZB4&asin=B01B00XFFU&ref_=dp_merchant_link&isAmazonFulfilled=1,"Anastasia Beverly Hills, LLC","Anastasia Beverly Hills, LLC",438 N Bedford Drive - BEVERLY HILLS - CA,90210,US
B01DQ63876,2,"Kiss New York Professional Brow Pencil with Spoolie Brush, Ultra-Fine Precision Point Eyebrow Pencil, Dual-Sided Precise, Slim Definer, Fills Brows, Long-Lasting Colorstay (Granite)",$7.99,$7.99,"Ivy Enterprises, Inc.",KBPP06,-,0.26 x 0.26 x 5.81 inches, 0.35 Ounces,568 ratings,4.6 out of 5 stars,https://www.amazon.com/Professional-Ultra-Fine-Precision-Dual-Sided-Long-Lasting/dp/B01DQ63876/ref=sr_1_6?crid=2TULJPWCTZP59&keywords=brow+wiz&qid=1699047526&sprefix=%2Caps%2C194&sr=8-6,https://m.media-amazon.com/images/I/514WxvLJi4L._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AMS2DC6MJM43V&asin=B01DQ63876&ref_=dp_merchant_link&isAmazonFulfilled=1,IVY Beauty,"AST SYSTEMS, LLC",25 HARBOR PARK DRIVE - PORT WASHINGTON - NY,11050,US
B08TG9VGQM,2,Anastasia Beverly Hills - Brow Freeze,$23.00,$23.00,Anastasia Beverly Hills,ABH01-34842,-,2.09 x 2.01 x 0.87 inches, 0.28 Ounces,"2,938 ratings",4.5 out of 5 stars,https://www.amazon.com/Anastasia-Beverly-Hills-Brow-Freeze/dp/B08TG9VGQM/ref=sr_1_7?crid=2TULJPWCTZP59&keywords=brow+wiz&qid=1699047526&sprefix=%2Caps%2C194&sr=8-7,https://m.media-amazon.com/images/I/51GPu+P18gL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NDCRNDH02ZB4&asin=B08TG9VGQM&ref_=dp_merchant_link&isAmazonFulfilled=1,"Anastasia Beverly Hills, LLC","Anastasia Beverly Hills, LLC",438 N Bedford Drive - BEVERLY HILLS - CA,90210,US
B0C29BFLRV,2,Anastasia Beverly Hills - Summer-Proof Brow Kit,$30.00,$30.00,ANASTASIA Beverly Hills,-,-,5.47 x 4.06 x 1.14 inches, 3.21 Ounces,5 ratings,5.0 out of 5 stars,https://www.amazon.com/Anastasia-Beverly-Hills-Summer-Proof-Taupe/dp/B0C29BFLRV/ref=sr_1_8?crid=2TULJPWCTZP59&keywords=brow+wiz&qid=1699047526&sprefix=%2Caps%2C194&sr=8-8,https://m.media-amazon.com/images/I/612u3xa-rQL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NDCRNDH02ZB4&asin=B0C29BFLRV&ref_=dp_merchant_link&isAmazonFulfilled=1,"Anastasia Beverly Hills, LLC","Anastasia Beverly Hills, LLC",438 N Bedford Drive - BEVERLY HILLS - CA,90210,US
B0CDQ56KT1,2,"iMethod Microblading Eyebrow Pencil - Brow Pencil 2-in-1 Dual-Ended Eyebrow Pen with 3-Prong Micro-Fork-Tip Applicator & Precise Brush-Tip Creates Natural-Looking Brows, Stay on All Day, Light Brown",$14.97,$14.97,iMethod,01 Light Brown,-,6.34 x 1.02 x 0.47 inches, 0.35 Ounces,83 ratings,4.6 out of 5 stars,https://www.amazon.com/iMethod-Microblading-Eyebrow-Pencil-Natural-Looking/dp/B0CDQ56KT1/ref=sr_1_9?crid=2TULJPWCTZP59&keywords=brow+wiz&qid=1699047526&sprefix=%2Caps%2C194&sr=8-9,https://m.media-amazon.com/images/I/71XhtsjPg5L._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AAQTG7XUFG32F&asin=B0CDQ56KT1&ref_=dp_merchant_link&isAmazonFulfilled=1,iMethod Dealer,shanxitangwenshangmaoyouxiangongsi,宝安大道华丰工业园D栋 - 深圳市 - 宝安区 - 广东,518126,CN
B00GI239X4,2,Anastasia Beverly Hills - Perfect Brow Pencil,$22.00,$22.00,Anastasia Beverly Hills,-,-,6.5 x 0.7 x 0.7 inches, 0.3 Ounces,"4,100 ratings",4.6 out of 5 stars,https://www.amazon.com/Anastasia-Beverly-Hills-Perfect-Pencil/dp/B00GI239X4/ref=sr_1_10?crid=2TULJPWCTZP59&keywords=brow+wiz&qid=1699047526&sprefix=%2Caps%2C194&sr=8-10,https://m.media-amazon.com/images/I/41akQzriyYL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NDCRNDH02ZB4&asin=B00GI239X4&ref_=dp_merchant_link&isAmazonFulfilled=1,"Anastasia Beverly Hills, LLC","Anastasia Beverly Hills, LLC",438 N Bedford Drive - BEVERLY HILLS - CA,90210,US
