product_id,marketplace_id,product_title,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_info_url,seller_name,business_name,business_address,zip_code,country
B0868TNC2P,2,Anastasia Beverly Hills - Luminous Foundation,$38.00,$38.00,Anastasia Beverly Hills,10017494,-,6.14 x 1.77 x 1.65 inches, 5.4 Ounces,898 ratings,4.6 out of 5 stars,https://www.amazon.com/Anastasia-Beverly-Hills-Luminous-Foundation/dp/B0868TNC2P/ref=sr_1_1?crid=1CC1ATWH2C15A&keywords=anastasia+beverly+hills&qid=1699044652&sprefix=%2Caps%2C136&sr=8-1,https://m.media-amazon.com/images/I/61XIHNRzojL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NDCRNDH02ZB4&asin=B0868TNC2P&ref_=dp_merchant_link&isAmazonFulfilled=1,"Anastasia Beverly Hills, LLC","Anastasia Beverly Hills, LLC",438 N Bedford Drive - BEVERLY HILLS - CA,90210,US
B00KNEDQ72,2,Anastasia Beverly Hills - DIPBROW Pomade,$21.00,$21.00,Anastasia Beverly Hills,ABH01-05102,-,1.7 x 1.7 x 1 inches, 0.14 Ounces,"6,110 ratings",4.7 out of 5 stars,https://www.amazon.com/Anastasia-Beverly-Hills-DIPBROW-Pomade/dp/B00KNEDQ72/ref=sr_1_2?crid=1CC1ATWH2C15A&keywords=anastasia+beverly+hills&qid=1699044652&sprefix=%2Caps%2C136&sr=8-2,https://m.media-amazon.com/images/I/41pQBEeezyL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NDCRNDH02ZB4&asin=B00KNEDQ72&ref_=dp_merchant_link&isAmazonFulfilled=1,"Anastasia Beverly Hills, LLC","Anastasia Beverly Hills, LLC",438 N Bedford Drive - BEVERLY HILLS - CA,90210,US
B01M5CZAXM,2,Anastasia Beverly Hills - Brow Wiz,$25.00,$25.00,Anastasia Beverly Hills,1056100,-,-,-,"23,013 ratings",4.7 out of 5 stars,https://www.amazon.com/Anastasia-Beverly-Hills-Medium-Brown/dp/B01M5CZAXM/ref=sr_1_3?crid=1CC1ATWH2C15A&keywords=anastasia+beverly+hills&qid=1699044652&sprefix=%2Caps%2C136&sr=8-3,https://m.media-amazon.com/images/I/51nTlddg3mL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NDCRNDH02ZB4&asin=B01M5CZAXM&ref_=dp_merchant_link&isAmazonFulfilled=1,"Anastasia Beverly Hills, LLC","Anastasia Beverly Hills, LLC",438 N Bedford Drive - BEVERLY HILLS - CA,90210,US
B085W9QQJS,2,Anastasia Beverly Hills - Loose Setting Powder,$38.00,$38.00,Anastasia Beverly Hills,2270585,-,-,-,"1,088 ratings",4.7 out of 5 stars,https://www.amazon.com/Anastasia-Beverly-Hills-Setting-Vanilla/dp/B085W9QQJS/ref=sr_1_4?crid=1CC1ATWH2C15A&keywords=anastasia+beverly+hills&qid=1699044652&sprefix=%2Caps%2C136&sr=8-4,https://m.media-amazon.com/images/I/61hO7IqzFTL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NDCRNDH02ZB4&asin=B085W9QQJS&ref_=dp_merchant_link&isAmazonFulfilled=1,"Anastasia Beverly Hills, LLC","Anastasia Beverly Hills, LLC",438 N Bedford Drive - BEVERLY HILLS - CA,90210,US
B0CHT5FRLK,-,Anastasia Beverly Hills - Velvet-Matte Lip Duo,-,-,-,-,-,5.35 x 1.69 x 0.87 inches, 3.21 Ounces,1 rating,5.0 out of 5 stars,https://www.amazon.com/Anastasia-Beverly-Hills-Velvet-Matte-Muted/dp/B0CHT5FRLK/ref=sr_1_5?crid=1CC1ATWH2C15A&keywords=anastasia+beverly+hills&qid=1699044652&sprefix=%2Caps%2C136&sr=8-5,https://m.media-amazon.com/images/I/61silcCUf3L._AC_UL320_.jpg,-,-,-,-,-,-
B0CHT1CWFP,-,Anastasia Beverly Hills - Fall Romance Eyeshadow Palette,-,-,Anastasia Beverly Hills,-,-,7.36 x 3.15 x 0.75 inches, 6.35 Ounces,-,-,https://www.amazon.com/Anastasia-Beverly-Hills-Romance-Eyeshadow/dp/B0CHT1CWFP/ref=sr_1_6?crid=1CC1ATWH2C15A&keywords=anastasia+beverly+hills&qid=1699044652&sprefix=%2Caps%2C136&sr=8-6,https://m.media-amazon.com/images/I/71WOrm73xFL._AC_UL320_.jpg,-,-,-,-,-,-
B0CHTMVDZ2,-,Anastasia Beverly Hills - Lip Luster Duo - Guava + Deep Taupe,-,-,-,-,-,5 x 2 x 1 inches, 2.4 Ounces,-,-,https://www.amazon.com/Anastasia-Beverly-Hills-Luster-Guava/dp/B0CHTMVDZ2/ref=sr_1_7?crid=1CC1ATWH2C15A&keywords=anastasia+beverly+hills&qid=1699044652&sprefix=%2Caps%2C136&sr=8-7,https://m.media-amazon.com/images/I/61bWBPhTNEL._AC_UL320_.jpg,-,-,-,-,-,-
B079Z9K7G2,2,Anastasia Beverly Hills - Eyeshadow Palette,$45.00,$45.00,Anastasia Beverly Hills,ABH01-18174,-,0.9 x 7.3 x 3.2 inches, 1.6 Ounces,"1,422 ratings",4.6 out of 5 stars,https://www.amazon.com/Anastasia-Beverly-Hills-Eyeshadow-Palette/dp/B079Z9K7G2/ref=sr_1_8?crid=1CC1ATWH2C15A&keywords=anastasia+beverly+hills&qid=1699044652&sprefix=%2Caps%2C136&sr=8-8,https://m.media-amazon.com/images/I/513MjN3KNjL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NDCRNDH02ZB4&asin=B079Z9K7G2&ref_=dp_merchant_link&isAmazonFulfilled=1,"Anastasia Beverly Hills, LLC","Anastasia Beverly Hills, LLC",438 N Bedford Drive - BEVERLY HILLS - CA,90210,US
B0B11F529N,2,Anastasia Beverly Hills - Norvina Pro Pigment Palette,$60.00,$60.00,Anastasia Beverly Hills,ABH01-18645,-,8.23 x 7.83 x 1.46 inches, 1.07 Pounds,295 ratings,4.7 out of 5 stars,https://www.amazon.com/Anastasia-Beverly-Hills-Norvina-Pigment/dp/B0B11F529N/ref=sr_1_9?crid=1CC1ATWH2C15A&keywords=anastasia+beverly+hills&qid=1699044652&sprefix=%2Caps%2C136&sr=8-9,https://m.media-amazon.com/images/I/61tKvWSeUQL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NDCRNDH02ZB4&asin=B0B11F529N&ref_=dp_merchant_link&isAmazonFulfilled=1,"Anastasia Beverly Hills, LLC","Anastasia Beverly Hills, LLC",438 N Bedford Drive - BEVERLY HILLS - CA,90210,US
B09HR2H38Y,2,Anastasia Beverly Hills - Magic Touch Concealer,$29.00,$29.00,Anastasia Beverly Hills,ABH01-10122,-,4.8 x 0.87 x 0.87 inches, 1.13 Ounces,30 ratings,4.5 out of 5 stars,https://www.amazon.com/Anastasia-Beverly-Hills-Magic-Concealer/dp/B09HR2H38Y/ref=sr_1_10?crid=1CC1ATWH2C15A&keywords=anastasia+beverly+hills&qid=1699044652&sprefix=%2Caps%2C136&sr=8-10,https://m.media-amazon.com/images/I/51vJCRukX3L._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NDCRNDH02ZB4&asin=B09HR2H38Y&ref_=dp_merchant_link&isAmazonFulfilled=1,"Anastasia Beverly Hills, LLC","Anastasia Beverly Hills, LLC",438 N Bedford Drive - BEVERLY HILLS - CA,90210,US
B01AO03JOY,2,Anastasia Beverly Hills - Brow Definer,$26.00,$26.00,Anastasia Beverly Hills,ABH01-04406,-,-,-,"13,300 ratings",4.6 out of 5 stars,https://www.amazon.com/Anastasia-Beverly-Hills-Definer-Medium/dp/B01AO03JOY/ref=sr_1_11?crid=1CC1ATWH2C15A&keywords=anastasia+beverly+hills&qid=1699044652&sprefix=%2Caps%2C136&sr=8-11,https://m.media-amazon.com/images/I/31cO5dnqOOL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NDCRNDH02ZB4&asin=B01AO03JOY&ref_=dp_merchant_link&isAmazonFulfilled=1,"Anastasia Beverly Hills, LLC","Anastasia Beverly Hills, LLC",438 N Bedford Drive - BEVERLY HILLS - CA,90210,US
B0CHT6W5Y2,-,Anastasia Beverly Hills - Deluxe Mini Lip Liner Set,-,-,-,-,-,7 x 4 x 4 inches, 6.4 Ounces,-,-,https://www.amazon.com/Anastasia-Beverly-Hills-Deluxe-Liner/dp/B0CHT6W5Y2/ref=sr_1_12?crid=1CC1ATWH2C15A&keywords=anastasia+beverly+hills&qid=1699044652&sprefix=%2Caps%2C136&sr=8-12,https://m.media-amazon.com/images/I/718UvlEtTtL._AC_UL320_.jpg,-,-,-,-,-,-
B0096M8FY6,2,Anastasia Beverly Hills - Stick Blush,$32.00,$32.00,Anastasia Beverly Hills,ABH01-18651,-,3.7 x 1.18 x 1.02 inches, 1.13 Ounces,209 ratings,4.4 out of 5 stars,https://www.amazon.com/Anastasia-Brows-Enhancing-Serum-Advanced/dp/B0096M8FY6/ref=sr_1_13?crid=1CC1ATWH2C15A&keywords=anastasia+beverly+hills&qid=1699044652&sprefix=%2Caps%2C136&sr=8-13,https://m.media-amazon.com/images/I/41IijKqO9LL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NDCRNDH02ZB4&asin=B0096M8FY6&ref_=dp_merchant_link&isAmazonFulfilled=1,"Anastasia Beverly Hills, LLC","Anastasia Beverly Hills, LLC",438 N Bedford Drive - BEVERLY HILLS - CA,90210,US
B08TG9VGQM,2,Anastasia Beverly Hills - Brow Freeze,$23.00,$23.00,Anastasia Beverly Hills,ABH01-34842,-,2.09 x 2.01 x 0.87 inches, 0.28 Ounces,"2,938 ratings",4.5 out of 5 stars,https://www.amazon.com/Anastasia-Beverly-Hills-Brow-Freeze/dp/B08TG9VGQM/ref=sr_1_14?crid=1CC1ATWH2C15A&keywords=anastasia+beverly+hills&qid=1699044652&sprefix=%2Caps%2C136&sr=8-14,https://m.media-amazon.com/images/I/51GPu+P18gL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NDCRNDH02ZB4&asin=B08TG9VGQM&ref_=dp_merchant_link&isAmazonFulfilled=1,"Anastasia Beverly Hills, LLC","Anastasia Beverly Hills, LLC",438 N Bedford Drive - BEVERLY HILLS - CA,90210,US
B0C29H2KMK,2,Anastasia Beverly Hills - Summer-Proof Brow Kit,$30.00,$30.00,ANASTASIA Beverly Hills,-,-,5.47 x 4.06 x 1.1 inches, 3.21 Ounces,5 ratings,5.0 out of 5 stars,https://www.amazon.com/Anastasia-Beverly-Hills-Summer-Proof-Medium/dp/B0C29H2KMK/ref=sr_1_15?crid=1CC1ATWH2C15A&keywords=anastasia+beverly+hills&qid=1699044652&sprefix=%2Caps%2C136&sr=8-15,https://m.media-amazon.com/images/I/61b0Gua3qlL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NDCRNDH02ZB4&asin=B0C29H2KMK&ref_=dp_merchant_link&isAmazonFulfilled=1,"Anastasia Beverly Hills, LLC","Anastasia Beverly Hills, LLC",438 N Bedford Drive - BEVERLY HILLS - CA,90210,US
B0CHTC6DWM,-,Anastasia Beverly Hills - Deluxe Matte Lipstick Set,-,-,-,-,-,6 x 4 x 1 inches, 8.48 Ounces,-,-,https://www.amazon.com/Anastasia-Beverly-Hills-Deluxe-Lipstick/dp/B0CHTC6DWM/ref=sr_1_16?crid=1CC1ATWH2C15A&keywords=anastasia+beverly+hills&qid=1699044652&sprefix=%2Caps%2C136&sr=8-16,https://m.media-amazon.com/images/I/815N64A55SL._AC_UL320_.jpg,-,-,-,-,-,-
B097BS7WLL,2,Anastasia Beverly Hills - Soft Glam II Mini Eye Shadow Palette,$29.00,$29.00,Anastasia Beverly Hills,J001481-bf,-,0.7 x 4.7 x 2.6 inches, 3.53 Ounces,129 ratings,4.6 out of 5 stars,https://www.amazon.com/Anastasia-Beverly-Hills-Shadow-Palette/dp/B097BS7WLL/ref=sr_1_17?crid=1CC1ATWH2C15A&keywords=anastasia+beverly+hills&qid=1699044652&sprefix=%2Caps%2C136&sr=8-17,https://m.media-amazon.com/images/I/41Eh+Ig3a0L._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3NDCRNDH02ZB4&asin=B097BS7WLL&ref_=dp_merchant_link&isAmazonFulfilled=1,"Anastasia Beverly Hills, LLC","Anastasia Beverly Hills, LLC",438 N Bedford Drive - BEVERLY HILLS - CA,90210,US
